title,price,image_url,url
Bulbasaur,£63.00,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,https://scrapeme.live/shop/Bulbasaur/
Ivysaur,£87.00,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,https://scrapeme.live/shop/Ivysaur/
Venusaur,£105.00,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,https://scrapeme.live/shop/Venusaur/
Charmander,£48.00,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,https://scrapeme.live/shop/Charmander/
Charmeleon,£165.00,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,https://scrapeme.live/shop/Charmeleon/
Charizard,£156.00,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,https://scrapeme.live/shop/Charizard/
Squirtle,£130.00,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,https://scrapeme.live/shop/Squirtle/
Wartortle,£123.00,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,https://scrapeme.live/shop/Wartortle/
Blastoise,£76.00,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,https://scrapeme.live/shop/Blastoise/
Caterpie,£73.00,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,https://scrapeme.live/shop/Caterpie/
Metapod,£148.00,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,https://scrapeme.live/shop/Metapod/
Butterfree,£162.00,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,https://scrapeme.live/shop/Butterfree/
Weedle,£25.00,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,https://scrapeme.live/shop/Weedle/
Kakuna,£148.00,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,https://scrapeme.live/shop/Kakuna/
Beedrill,£168.00,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,https://scrapeme.live/shop/Beedrill/
Pidgey,£159.00,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,https://scrapeme.live/shop/Pidgey/
Pidgeotto,£84.00,https://scrapeme.live/wp-content/uploads/2018/08/017-350x350.png,https://scrapeme.live/shop/Pidgeotto/
Pidgeot,£185.00,https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png,https://scrapeme.live/shop/Pidgeot/
Rattata,£128.00,https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png,https://scrapeme.live/shop/Rattata/
Raticate,£60.00,https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png,https://scrapeme.live/shop/Raticate/
Spearow,£133.00,https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png,https://scrapeme.live/shop/Spearow/
Fearow,£95.00,https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png,https://scrapeme.live/shop/Fearow/
Ekans,£55.00,https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png,https://scrapeme.live/shop/Ekans/
Arbok,£182.00,https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png,https://scrapeme.live/shop/Arbok/
Pikachu,£37.00,https://scrapeme.live/wp-content/uploads/2018/08/025-350x350.png,https://scrapeme.live/shop/Pikachu/
Raichu,£140.00,https://scrapeme.live/wp-content/uploads/2018/08/026-350x350.png,https://scrapeme.live/shop/Raichu/
Sandshrew,£82.00,https://scrapeme.live/wp-content/uploads/2018/08/027-350x350.png,https://scrapeme.live/shop/Sandshrew/
Sandslash,£155.00,https://scrapeme.live/wp-content/uploads/2018/08/028-350x350.png,https://scrapeme.live/shop/Sandslash/
Nidorina,£28.00,https://scrapeme.live/wp-content/uploads/2018/08/030-350x350.png,https://scrapeme.live/shop/Nidorina/
Nidoqueen,£106.00,https://scrapeme.live/wp-content/uploads/2018/08/031-350x350.png,https://scrapeme.live/shop/Nidoqueen/
Nidorino,£179.00,https://scrapeme.live/wp-content/uploads/2018/08/033-350x350.png,https://scrapeme.live/shop/Nidorino/
Nidoking,£31.00,https://scrapeme.live/wp-content/uploads/2018/08/034-350x350.png,https://scrapeme.live/shop/Nidoking/
Clefairy,£160.00,https://scrapeme.live/wp-content/uploads/2018/08/035-350x350.png,https://scrapeme.live/shop/Clefairy/
Clefable,£188.00,https://scrapeme.live/wp-content/uploads/2018/08/036-350x350.png,https://scrapeme.live/shop/Clefable/
Vulpix,£85.00,https://scrapeme.live/wp-content/uploads/2018/08/037-350x350.png,https://scrapeme.live/shop/Vulpix/
Ninetales,£52.00,https://scrapeme.live/wp-content/uploads/2018/08/038-350x350.png,https://scrapeme.live/shop/Ninetales/
Jigglypuff,£61.00,https://scrapeme.live/wp-content/uploads/2018/08/039-350x350.png,https://scrapeme.live/shop/Jigglypuff/
Wigglytuff,£130.00,https://scrapeme.live/wp-content/uploads/2018/08/040-350x350.png,https://scrapeme.live/shop/Wigglytuff/
Zubat,£125.00,https://scrapeme.live/wp-content/uploads/2018/08/041-350x350.png,https://scrapeme.live/shop/Zubat/
Golbat,£136.00,https://scrapeme.live/wp-content/uploads/2018/08/042-350x350.png,https://scrapeme.live/shop/Golbat/
Oddish,£45.00,https://scrapeme.live/wp-content/uploads/2018/08/043-350x350.png,https://scrapeme.live/shop/Oddish/
Gloom,£178.00,https://scrapeme.live/wp-content/uploads/2018/08/044-350x350.png,https://scrapeme.live/shop/Gloom/
